----------------------------------------------------------------------------------------------------
Training for epoch 1/25 started
----------------------------------------------------------------------------------------------------
Train completion:12.94%, time:99 m:51 s, avg loss: 11.82, avg acc:0.1084%, last loss: 11.41
Train completion:13.07%, time:100 m:54 s, avg loss: 11.82, avg acc:0.1073%, last loss: 10.91
Train completion:13.20%, time:101 m:58 s, avg loss: 11.81, avg acc:0.1062%, last loss: 11.04
Train completion:13.33%, time:103 m:0 s, avg loss: 11.80, avg acc:0.1052%, last loss: 11.44
Train completion:13.46%, time:104 m:2 s, avg loss: 11.80, avg acc:0.1042%, last loss: 11.73
Train completion:13.60%, time:105 m:3 s, avg loss: 11.79, avg acc:0.1032%, last loss: 11.13
Train completion:13.73%, time:106 m:5 s, avg loss: 11.79, avg acc:0.1022%, last loss: 11.50
Train completion:13.86%, time:107 m:8 s, avg loss: 11.78, avg acc:0.1012%, last loss: 10.96
Train completion:13.99%, time:108 m:11 s, avg loss: 11.78, avg acc:0.1002%, last loss: 11.12
Train completion:14.12%, time:109 m:11 s, avg loss: 11.77, avg acc:0.0993%, last loss: 11.26
Train completion:14.26%, time:110 m:13 s, avg loss: 11.77, avg acc:0.0984%, last loss: 11.59
Train completion:14.39%, time:111 m:20 s, avg loss: 11.76, avg acc:0.1032%, last loss: 10.86
Train completion:14.52%, time:112 m:25 s, avg loss: 11.76, avg acc:0.1023%, last loss: 10.95
Train completion:14.65%, time:113 m:31 s, avg loss: 11.75, avg acc:0.1014%, last loss: 11.30
Train completion:14.78%, time:114 m:36 s, avg loss: 11.75, avg acc:0.1004%, last loss: 10.94
Train completion:14.92%, time:115 m:42 s, avg loss: 11.74, avg acc:0.0996%, last loss: 11.03
Train completion:15.05%, time:116 m:50 s, avg loss: 11.74, avg acc:0.0987%, last loss: 11.02
Train completion:15.18%, time:117 m:55 s, avg loss: 11.73, avg acc:0.0978%, last loss: 11.11
Train completion:15.31%, time:119 m:2 s, avg loss: 11.73, avg acc:0.0970%, last loss: 11.19
Train completion:15.44%, time:120 m:11 s, avg loss: 11.72, avg acc:0.0962%, last loss: 11.32
Train completion:15.58%, time:121 m:17 s, avg loss: 11.72, avg acc:0.0953%, last loss: 11.14
Train completion:15.71%, time:122 m:20 s, avg loss: 11.71, avg acc:0.0945%, last loss: 11.38
Train completion:15.84%, time:123 m:22 s, avg loss: 11.71, avg acc:0.0938%, last loss: 10.66
Train completion:15.97%, time:124 m:26 s, avg loss: 11.70, avg acc:0.0930%, last loss: 11.65
Train completion:16.10%, time:125 m:31 s, avg loss: 11.70, avg acc:0.0922%, last loss: 11.44
Train completion:16.24%, time:126 m:33 s, avg loss: 11.69, avg acc:0.0915%, last loss: 11.31
Train completion:16.37%, time:127 m:35 s, avg loss: 11.69, avg acc:0.0907%, last loss: 11.53
Train completion:16.50%, time:128 m:39 s, avg loss: 11.68, avg acc:0.0900%, last loss: 10.89
Train completion:16.63%, time:129 m:42 s, avg loss: 11.68, avg acc:0.0893%, last loss: 10.78
Train completion:16.76%, time:130 m:47 s, avg loss: 11.67, avg acc:0.0886%, last loss: 11.01
Train completion:16.90%, time:131 m:52 s, avg loss: 11.67, avg acc:0.0879%, last loss: 10.88
Train completion:17.03%, time:132 m:57 s, avg loss: 11.66, avg acc:0.1599%, last loss: 11.40
Train completion:17.16%, time:133 m:59 s, avg loss: 11.66, avg acc:0.1587%, last loss: 11.24
Train completion:17.29%, time:135 m:3 s, avg loss: 11.65, avg acc:0.1574%, last loss: 10.87
Train completion:17.42%, time:136 m:8 s, avg loss: 11.65, avg acc:0.1562%, last loss: 10.84
Train completion:17.56%, time:137 m:10 s, avg loss: 11.64, avg acc:0.1551%, last loss: 10.75
Train completion:17.69%, time:138 m:11 s, avg loss: 11.64, avg acc:0.1539%, last loss: 10.94
Train completion:17.82%, time:139 m:12 s, avg loss: 11.63, avg acc:0.1528%, last loss: 11.02
Train completion:17.95%, time:140 m:13 s, avg loss: 11.63, avg acc:0.1517%, last loss: 10.94
Train completion:18.08%, time:141 m:13 s, avg loss: 11.63, avg acc:0.1505%, last loss: 10.94
