
----------------------------------------------------------------------------------------------------
Training for epoch 1/25 started
----------------------------------------------------------------------------------------------------
Train completion:16.10%, time:101 m:9 s, avg loss: 11.67, avg acc:0.1255%, last loss: 11.06
Train completion:16.24%, time:102 m:17 s, avg loss: 11.66, avg acc:0.1245%, last loss: 10.65
Train completion:16.37%, time:103 m:28 s, avg loss: 11.66, avg acc:0.1235%, last loss: 10.91
Train completion:16.50%, time:104 m:34 s, avg loss: 11.65, avg acc:0.1225%, last loss: 11.51
Train completion:16.63%, time:105 m:39 s, avg loss: 11.64, avg acc:0.1215%, last loss: 10.94
Train completion:16.76%, time:106 m:44 s, avg loss: 11.64, avg acc:0.1206%, last loss: 11.17
Train completion:16.90%, time:107 m:46 s, avg loss: 11.63, avg acc:0.1196%, last loss: 11.04
Train completion:17.03%, time:108 m:47 s, avg loss: 11.63, avg acc:0.1187%, last loss: 10.96
Train completion:17.16%, time:109 m:45 s, avg loss: 11.62, avg acc:0.1178%, last loss: 11.32
Train completion:17.29%, time:110 m:45 s, avg loss: 11.62, avg acc:0.1169%, last loss: 11.00
Train completion:17.42%, time:111 m:46 s, avg loss: 11.61, avg acc:0.1160%, last loss: 10.95
Train completion:17.56%, time:112 m:46 s, avg loss: 11.61, avg acc:0.1151%, last loss: 11.01
Train completion:17.69%, time:113 m:46 s, avg loss: 11.60, avg acc:0.1143%, last loss: 11.01
Train completion:17.82%, time:114 m:43 s, avg loss: 11.60, avg acc:0.1134%, last loss: 10.86
Train completion:17.95%, time:115 m:41 s, avg loss: 11.59, avg acc:0.1126%, last loss: 11.24
Train completion:18.08%, time:116 m:39 s, avg loss: 11.59, avg acc:0.1118%, last loss: 11.06
Train completion:18.22%, time:117 m:38 s, avg loss: 11.58, avg acc:0.1110%, last loss: 10.57
Train completion:18.35%, time:118 m:38 s, avg loss: 11.58, avg acc:0.1102%, last loss: 10.87
Train completion:18.48%, time:119 m:34 s, avg loss: 11.57, avg acc:0.1094%, last loss: 10.87
Train completion:18.61%, time:120 m:31 s, avg loss: 11.57, avg acc:0.1086%, last loss: 10.79
Train completion:18.74%, time:121 m:30 s, avg loss: 11.56, avg acc:0.1078%, last loss: 11.04
Train completion:18.88%, time:122 m:27 s, avg loss: 11.56, avg acc:0.1071%, last loss: 11.13
Train completion:19.01%, time:123 m:25 s, avg loss: 11.55, avg acc:0.1063%, last loss: 10.84
Train completion:19.14%, time:124 m:24 s, avg loss: 11.55, avg acc:0.1056%, last loss: 10.84
Train completion:19.27%, time:125 m:20 s, avg loss: 11.54, avg acc:0.1049%, last loss: 10.80
Train completion:19.40%, time:126 m:19 s, avg loss: 11.54, avg acc:0.1042%, last loss: 10.93
Train completion:19.54%, time:127 m:19 s, avg loss: 11.54, avg acc:0.1035%, last loss: 10.89
Train completion:19.67%, time:128 m:17 s, avg loss: 11.53, avg acc:0.1028%, last loss: 10.93
Train completion:19.80%, time:129 m:16 s, avg loss: 11.53, avg acc:0.1021%, last loss: 11.17
Train completion:19.93%, time:130 m:14 s, avg loss: 11.53, avg acc:0.1014%, last loss: 10.77
Train completion:20.06%, time:131 m:12 s, avg loss: 11.52, avg acc:0.1007%, last loss: 10.98
Train completion:20.20%, time:132 m:12 s, avg loss: 11.52, avg acc:0.1001%, last loss: 10.99
Train completion:20.33%, time:133 m:11 s, avg loss: 11.51, avg acc:0.0994%, last loss: 11.15
Train completion:20.46%, time:134 m:9 s, avg loss: 11.51, avg acc:0.0988%, last loss: 10.78
Train completion:20.59%, time:135 m:7 s, avg loss: 11.50, avg acc:0.0982%, last loss: 10.54
Train completion:20.72%, time:136 m:5 s, avg loss: 11.50, avg acc:0.0975%, last loss: 10.65
Train completion:20.86%, time:137 m:2 s, avg loss: 11.50, avg acc:0.0989%, last loss: 10.50
Train completion:20.99%, time:137 m:59 s, avg loss: 11.49, avg acc:0.0983%, last loss: 10.91
Train completion:21.12%, time:138 m:57 s, avg loss: 11.49, avg acc:0.0977%, last loss: 10.78
Train completion:21.25%, time:139 m:56 s, avg loss: 11.48, avg acc:0.0970%, last loss: 10.95
Train completion:21.38%, time:140 m:57 s, avg loss: 11.48, avg acc:0.0965%, last loss: 11.24
Train completion:21.52%, time:141 m:59 s, avg loss: 11.48, avg acc:0.0959%, last loss: 10.48
Train completion:21.65%, time:143 m:0 s, avg loss: 11.47, avg acc:0.0953%, last loss: 10.86
Train completion:21.78%, time:143 m:58 s, avg loss: 11.47, avg acc:0.0947%, last loss: 10.84
Train completion:21.91%, time:144 m:55 s, avg loss: 11.46, avg acc:0.0941%, last loss: 10.26
Train completion:22.04%, time:145 m:52 s, avg loss: 11.46, avg acc:0.0936%, last loss: 11.05
Train completion:22.18%, time:146 m:49 s, avg loss: 11.46, avg acc:0.1042%, last loss: 10.66
Train completion:22.31%, time:147 m:47 s, avg loss: 11.45, avg acc:0.1036%, last loss: 10.66
Train completion:22.44%, time:148 m:45 s, avg loss: 11.45, avg acc:0.1029%, last loss: 11.05
Train completion:22.57%, time:149 m:43 s, avg loss: 11.44, avg acc:0.1023%, last loss: 11.05
Train completion:22.70%, time:150 m:42 s, avg loss: 11.44, avg acc:0.1017%, last loss: 10.68
Train completion:22.84%, time:151 m:38 s, avg loss: 11.44, avg acc:0.1012%, last loss: 10.73
Train completion:22.97%, time:152 m:33 s, avg loss: 11.43, avg acc:0.1006%, last loss: 10.74
Train completion:23.10%, time:153 m:32 s, avg loss: 11.43, avg acc:0.1000%, last loss: 10.23
Train completion:23.23%, time:154 m:30 s, avg loss: 11.42, avg acc:0.0994%, last loss: 10.60
Train completion:23.36%, time:155 m:28 s, avg loss: 11.42, avg acc:0.0989%, last loss: 10.99
Train completion:23.50%, time:156 m:26 s, avg loss: 11.42, avg acc:0.0983%, last loss: 10.87
Train completion:23.63%, time:157 m:26 s, avg loss: 11.41, avg acc:0.0978%, last loss: 10.70
Train completion:23.76%, time:158 m:25 s, avg loss: 11.41, avg acc:0.0972%, last loss: 10.67
Train completion:23.89%, time:159 m:24 s, avg loss: 11.40, avg acc:0.0967%, last loss: 10.66
Train completion:24.02%, time:160 m:22 s, avg loss: 11.40, avg acc:0.0962%, last loss: 10.53
Train completion:24.16%, time:161 m:19 s, avg loss: 11.40, avg acc:0.0956%, last loss: 10.39
Train completion:24.29%, time:162 m:20 s, avg loss: 11.39, avg acc:0.0951%, last loss: 10.67
Train completion:24.42%, time:163 m:21 s, avg loss: 11.39, avg acc:0.0946%, last loss: 10.71
Train completion:24.55%, time:164 m:22 s, avg loss: 11.38, avg acc:0.0941%, last loss: 10.59
Train completion:24.68%, time:165 m:23 s, avg loss: 11.38, avg acc:0.0936%, last loss: 10.67
Train completion:24.82%, time:166 m:24 s, avg loss: 11.38, avg acc:0.0931%, last loss: 10.78
Train completion:24.95%, time:167 m:23 s, avg loss: 11.37, avg acc:0.0926%, last loss: 10.87
Train completion:25.08%, time:168 m:22 s, avg loss: 11.37, avg acc:0.0921%, last loss: 10.76
Train completion:25.21%, time:169 m:21 s, avg loss: 11.37, avg acc:0.0916%, last loss: 10.42
Train completion:25.34%, time:170 m:20 s, avg loss: 11.36, avg acc:0.1156%, last loss: 10.79
Train completion:25.48%, time:171 m:19 s, avg loss: 11.36, avg acc:0.1150%, last loss: 10.58
Train completion:25.61%, time:172 m:17 s, avg loss: 11.36, avg acc:0.1144%, last loss: 10.84
Train completion:25.74%, time:173 m:16 s, avg loss: 11.35, avg acc:0.1138%, last loss: 10.75
Train completion:25.87%, time:174 m:14 s, avg loss: 11.35, avg acc:0.1132%, last loss: 10.72
Train completion:26.00%, time:175 m:13 s, avg loss: 11.35, avg acc:0.1126%, last loss: 10.88
Train completion:26.14%, time:176 m:13 s, avg loss: 11.34, avg acc:0.1121%, last loss: 10.91
Train completion:26.27%, time:177 m:13 s, avg loss: 11.34, avg acc:0.1115%, last loss: 10.48
Train completion:26.40%, time:178 m:14 s, avg loss: 11.33, avg acc:0.1109%, last loss: 10.35
Train completion:26.53%, time:179 m:13 s, avg loss: 11.33, avg acc:0.1104%, last loss: 10.33
Train completion:26.66%, time:180 m:13 s, avg loss: 11.33, avg acc:0.1098%, last loss: 10.76
Train completion:26.80%, time:181 m:13 s, avg loss: 11.32, avg acc:0.1093%, last loss: 10.69
Train completion:26.93%, time:182 m:14 s, avg loss: 11.32, avg acc:0.1088%, last loss: 10.78
Train completion:27.06%, time:183 m:14 s, avg loss: 11.32, avg acc:0.1082%, last loss: 10.75
Train completion:27.19%, time:184 m:14 s, avg loss: 11.31, avg acc:0.1077%, last loss: 10.55
Train completion:27.32%, time:185 m:13 s, avg loss: 11.31, avg acc:0.1072%, last loss: 10.60
Train completion:27.46%, time:186 m:13 s, avg loss: 11.31, avg acc:0.1067%, last loss: 10.68
Train completion:27.59%, time:187 m:14 s, avg loss: 11.30, avg acc:0.1062%, last loss: 10.36
Train completion:27.72%, time:188 m:15 s, avg loss: 11.30, avg acc:0.1057%, last loss: 10.68
Train completion:27.85%, time:189 m:15 s, avg loss: 11.30, avg acc:0.1052%, last loss: 10.69
