----------------------------------------------------------------------------------------------------
Training for epoch 1/25 started
----------------------------------------------------------------------------------------------------
Train completion:13.99%, time:61 m:47 s, avg loss: 11.79, avg acc:0.2830%, last loss: 10.87
Train completion:14.12%, time:62 m:17 s, avg loss: 11.78, avg acc:0.2804%, last loss: 10.82
Train completion:14.26%, time:62 m:47 s, avg loss: 11.78, avg acc:0.2778%, last loss: 11.39
Train completion:14.39%, time:63 m:17 s, avg loss: 11.77, avg acc:0.2752%, last loss: 11.02
Train completion:14.52%, time:63 m:48 s, avg loss: 11.77, avg acc:0.2727%, last loss: 10.72
Train completion:14.65%, time:64 m:18 s, avg loss: 11.76, avg acc:0.2703%, last loss: 11.09
Train completion:14.78%, time:64 m:48 s, avg loss: 11.75, avg acc:0.2679%, last loss: 10.88
Train completion:14.92%, time:65 m:18 s, avg loss: 11.75, avg acc:0.2655%, last loss: 11.25
Train completion:15.05%, time:65 m:48 s, avg loss: 11.74, avg acc:0.2632%, last loss: 11.68
Train completion:15.18%, time:66 m:18 s, avg loss: 11.74, avg acc:0.2609%, last loss: 10.65
Train completion:15.31%, time:66 m:48 s, avg loss: 11.73, avg acc:0.2586%, last loss: 11.13
Train completion:15.44%, time:67 m:18 s, avg loss: 11.73, avg acc:0.2564%, last loss: 11.22
Train completion:15.58%, time:67 m:48 s, avg loss: 11.72, avg acc:0.2542%, last loss: 11.10
Train completion:15.71%, time:68 m:18 s, avg loss: 11.72, avg acc:0.2521%, last loss: 10.84
Train completion:15.84%, time:68 m:48 s, avg loss: 11.71, avg acc:0.2500%, last loss: 11.35
Train completion:15.97%, time:69 m:17 s, avg loss: 11.71, avg acc:0.2479%, last loss: 11.05
Train completion:16.10%, time:69 m:48 s, avg loss: 11.70, avg acc:0.2459%, last loss: 11.49
Train completion:16.24%, time:70 m:18 s, avg loss: 11.70, avg acc:0.2439%, last loss: 11.00
Train completion:16.37%, time:70 m:48 s, avg loss: 11.69, avg acc:0.2419%, last loss: 10.76
Train completion:16.50%, time:71 m:18 s, avg loss: 11.69, avg acc:0.2400%, last loss: 11.03
Train completion:16.63%, time:71 m:48 s, avg loss: 11.68, avg acc:0.2381%, last loss: 10.71
Train completion:16.76%, time:72 m:18 s, avg loss: 11.68, avg acc:0.2362%, last loss: 10.93
Train completion:16.90%, time:72 m:48 s, avg loss: 11.67, avg acc:0.2344%, last loss: 11.21
Train completion:17.03%, time:73 m:18 s, avg loss: 11.67, avg acc:0.2326%, last loss: 11.18
Train completion:17.16%, time:73 m:50 s, avg loss: 11.66, avg acc:0.2308%, last loss: 11.13
Train completion:17.29%, time:74 m:21 s, avg loss: 11.65, avg acc:0.2290%, last loss: 10.76
Train completion:17.42%, time:74 m:51 s, avg loss: 11.65, avg acc:0.2273%, last loss: 10.98
Train completion:17.56%, time:75 m:24 s, avg loss: 11.65, avg acc:0.2256%, last loss: 11.78
Train completion:17.69%, time:75 m:56 s, avg loss: 11.64, avg acc:0.2239%, last loss: 10.80
Train completion:17.82%, time:76 m:28 s, avg loss: 11.64, avg acc:0.2222%, last loss: 10.89
Train completion:17.95%, time:77 m:0 s, avg loss: 11.63, avg acc:0.2206%, last loss: 11.15
Train completion:18.08%, time:77 m:30 s, avg loss: 11.63, avg acc:0.2190%, last loss: 10.65
Train completion:18.22%, time:78 m:3 s, avg loss: 11.62, avg acc:0.2174%, last loss: 10.63
Train completion:18.35%, time:78 m:34 s, avg loss: 11.62, avg acc:0.2158%, last loss: 11.04
Train completion:18.48%, time:79 m:6 s, avg loss: 11.61, avg acc:0.2143%, last loss: 10.90
Train completion:18.61%, time:79 m:38 s, avg loss: 11.61, avg acc:0.2128%, last loss: 10.99
Train completion:18.74%, time:80 m:9 s, avg loss: 11.60, avg acc:0.2113%, last loss: 10.84
Train completion:18.88%, time:80 m:40 s, avg loss: 11.60, avg acc:0.2098%, last loss: 10.60
