----------------------------------------------------------------------------------------------------
Training for epoch 1/25 started
----------------------------------------------------------------------------------------------------
Train completion:29.96%, time:168 m:50 s, avg loss: 11.29, avg acc:0.0881%, last loss: 10.50
Train completion:30.10%, time:169 m:35 s, avg loss: 11.29, avg acc:0.0877%, last loss: 10.51
Train completion:30.23%, time:170 m:19 s, avg loss: 11.29, avg acc:0.0873%, last loss: 10.61
Train completion:30.36%, time:171 m:4 s, avg loss: 11.28, avg acc:0.0870%, last loss: 10.49
Train completion:30.49%, time:171 m:48 s, avg loss: 11.28, avg acc:0.0866%, last loss: 10.60
Train completion:30.62%, time:172 m:32 s, avg loss: 11.28, avg acc:0.0862%, last loss: 10.55
Train completion:30.76%, time:173 m:18 s, avg loss: 11.27, avg acc:0.0858%, last loss: 10.73
Train completion:30.89%, time:174 m:4 s, avg loss: 11.27, avg acc:0.0855%, last loss: 10.36
Train completion:31.02%, time:174 m:48 s, avg loss: 11.27, avg acc:0.0851%, last loss: 10.45
Train completion:31.15%, time:175 m:32 s, avg loss: 11.26, avg acc:0.0847%, last loss: 10.27
Train completion:31.28%, time:176 m:17 s, avg loss: 11.26, avg acc:0.0844%, last loss: 10.80
Train completion:31.42%, time:177 m:3 s, avg loss: 11.26, avg acc:0.0840%, last loss: 10.21
Train completion:31.55%, time:177 m:47 s, avg loss: 11.26, avg acc:0.0837%, last loss: 10.72
Train completion:31.68%, time:178 m:32 s, avg loss: 11.25, avg acc:0.0833%, last loss: 10.71
Train completion:31.81%, time:179 m:18 s, avg loss: 11.25, avg acc:0.0830%, last loss: 10.43
Train completion:31.94%, time:180 m:4 s, avg loss: 11.25, avg acc:0.0826%, last loss: 10.58
Train completion:32.08%, time:180 m:49 s, avg loss: 11.24, avg acc:0.0823%, last loss: 10.60
Train completion:32.21%, time:181 m:35 s, avg loss: 11.24, avg acc:0.0820%, last loss: 10.52
Train completion:32.34%, time:182 m:19 s, avg loss: 11.24, avg acc:0.0816%, last loss: 10.64
Train completion:32.47%, time:183 m:5 s, avg loss: 11.24, avg acc:0.0813%, last loss: 10.68
Train completion:32.60%, time:183 m:51 s, avg loss: 11.23, avg acc:0.0810%, last loss: 10.24
Train completion:32.74%, time:184 m:35 s, avg loss: 11.23, avg acc:0.0806%, last loss: 10.50
Train completion:32.87%, time:185 m:20 s, avg loss: 11.23, avg acc:0.0803%, last loss: 10.59
Train completion:33.00%, time:186 m:5 s, avg loss: 11.22, avg acc:0.0800%, last loss: 10.42
Train completion:33.13%, time:186 m:50 s, avg loss: 11.22, avg acc:0.0797%, last loss: 10.50
Train completion:33.26%, time:187 m:35 s, avg loss: 11.22, avg acc:0.0794%, last loss: 10.47
Train completion:33.40%, time:188 m:19 s, avg loss: 11.22, avg acc:0.0791%, last loss: 10.30
Train completion:33.53%, time:189 m:3 s, avg loss: 11.21, avg acc:0.0787%, last loss: 10.40
Train completion:33.66%, time:189 m:47 s, avg loss: 11.21, avg acc:0.0784%, last loss: 10.26
Train completion:33.79%, time:190 m:33 s, avg loss: 11.21, avg acc:0.0781%, last loss: 10.36
Train completion:33.92%, time:191 m:17 s, avg loss: 11.21, avg acc:0.0778%, last loss: 10.48
Train completion:34.06%, time:192 m:1 s, avg loss: 11.20, avg acc:0.0775%, last loss: 10.49
Train completion:34.19%, time:192 m:47 s, avg loss: 11.20, avg acc:0.1158%, last loss: 10.45
Train completion:34.32%, time:193 m:31 s, avg loss: 11.20, avg acc:0.1154%, last loss: 10.44
Train completion:34.45%, time:194 m:15 s, avg loss: 11.19, avg acc:0.1149%, last loss: 10.24
Train completion:34.58%, time:195 m:0 s, avg loss: 11.19, avg acc:0.1145%, last loss: 10.47
Train completion:34.72%, time:195 m:44 s, avg loss: 11.19, avg acc:0.1141%, last loss: 10.23
Train completion:34.85%, time:196 m:28 s, avg loss: 11.19, avg acc:0.1136%, last loss: 10.60
Train completion:34.98%, time:197 m:13 s, avg loss: 11.18, avg acc:0.1132%, last loss: 10.35
Train completion:35.11%, time:197 m:57 s, avg loss: 11.18, avg acc:0.1128%, last loss: 10.34
Train completion:35.24%, time:198 m:42 s, avg loss: 11.18, avg acc:0.1124%, last loss: 10.37
Train completion:35.38%, time:199 m:25 s, avg loss: 11.18, avg acc:0.1119%, last loss: 10.36
Train completion:35.51%, time:200 m:13 s, avg loss: 11.17, avg acc:0.1115%, last loss: 10.37
Train completion:35.64%, time:200 m:59 s, avg loss: 11.17, avg acc:0.1111%, last loss: 10.59
Train completion:35.77%, time:201 m:44 s, avg loss: 11.17, avg acc:0.1107%, last loss: 10.79
Train completion:35.90%, time:202 m:29 s, avg loss: 11.17, avg acc:0.1103%, last loss: 10.41
Train completion:36.04%, time:203 m:15 s, avg loss: 11.16, avg acc:0.1099%, last loss: 10.49
Train completion:36.17%, time:204 m:3 s, avg loss: 11.16, avg acc:0.1095%, last loss: 10.70
Train completion:36.30%, time:204 m:50 s, avg loss: 11.16, avg acc:0.1091%, last loss: 10.40
Train completion:36.43%, time:205 m:35 s, avg loss: 11.16, avg acc:0.1087%, last loss: 10.35
Train completion:36.56%, time:206 m:22 s, avg loss: 11.15, avg acc:0.1083%, last loss: 10.67
